DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.838,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17866955,-0.2811,0.0748,9.8606,-0.1784,0.3571,-0.4727
17867122,-0.2942,0.0741,9.8614,-0.2162,0.3530,-0.3026
17867288,-0.2830,0.0863,9.8529,-0.1668,0.3103,-0.2966
17867455,-0.2799,0.0706,9.8704,-0.2455,0.3473,-0.3133
17867622,-0.2835,0.0753,9.8590,-0.2246,0.3900,-0.3684
17867788,-0.2919,0.0849,9.8652,-0.2511,0.3631,-0.2903
17867955,-0.2902,0.0750,9.8585,-0.1659,0.3330,-0.3363
17868122,-0.2880,0.0706,9.8694,-0.2071,0.2618,-0.4098
17868288,-0.2849,0.0736,9.8525,-0.2742,0.3422,-0.2999
17868455,-0.2782,0.0839,9.8588,-0.2375,0.3531,-0.2791
17868622,-0.2924,0.0638,9.8559,-0.2176,0.4005,-0.3542
17868788,-0.2867,0.0760,9.8610,-0.2634,0.3939,-0.3170
17868955,-0.2863,0.0592,9.8642,-0.1572,0.3418,-0.3480
17869122,-0.2913,0.0772,9.8485,-0.1367,0.3735,-0.2991
17869288,-0.2885,0.0794,9.8563,-0.1988,0.3607,-0.3399
17869455,-0.2882,0.0668,9.8580,-0.2490,0.3560,-0.3469
17869622,-0.2886,0.0840,9.8441,-0.1942,0.3699,-0.4086
17869788,-0.2803,0.0800,9.8665,-0.2108,0.3508,-0.3424
17869955,-0.2837,0.0750,9.8729,-0.1935,0.3533,-0.3702
17870122,-0.2829,0.0867,9.8565,-0.2460,0.3989,-0.3254
17870288,-0.2827,0.0753,9.8485,-0.2262,0.3441,-0.3110
17870455,-0.2853,0.0806,9.8472,-0.1776,0.4619,-0.2693
17870622,-0.2859,0.0822,9.8546,-0.1917,0.4006,-0.3515
17870788,-0.2807,0.0706,9.8487,-0.2436,0.3149,-0.3466
17870955,-0.2996,0.0749,9.8504,-0.1919,0.3654,-0.3391
17871122,-0.2801,0.0749,9.8556,-0.2610,0.3292,-0.3588
17871288,-0.2828,0.0772,9.8573,-0.1341,0.3850,-0.4159
17871455,-0.2786,0.0747,9.8602,-0.1981,0.3870,-0.3601
17871622,-0.2834,0.0779,9.8525,-0.1601,0.3965,-0.3593
17871788,-0.2832,0.0707,9.8595,-0.1668,0.3247,-0.3660
17871955,-0.2746,0.0714,9.8531,-0.1991,0.4058,-0.3282
17872122,-0.2871,0.0653,9.8528,-0.2070,0.3499,-0.3672
17872288,-0.2850,0.0829,9.8537,-0.1452,0.3429,-0.3035
17872455,-0.2972,0.0775,9.8651,-0.1407,0.3254,-0.3560
17872622,-0.2867,0.0737,9.8487,-0.2966,0.4216,-0.3552
17872788,-0.2966,0.0701,9.8596,-0.2173,0.3828,-0.3393
17872955,-0.2952,0.0650,9.8697,-0.2435,0.3039,-0.3583
17873122,-0.2984,0.0627,9.8481,-0.1733,0.3794,-0.4026
17873288,-0.2850,0.0678,9.8548,-0.1781,0.3361,-0.3375
17873455,-0.2812,0.0822,9.8488,-0.2383,0.4079,-0.4306
17873622,-0.2937,0.0813,9.8593,-0.2573,0.3147,-0.4196
17873788,-0.2812,0.0746,9.8601,-0.2477,0.4286,-0.2864
17873955,-0.2882,0.0699,9.8493,-0.1917,0.3662,-0.3739
17874122,-0.2855,0.0759,9.8488,-0.1995,0.4169,-0.3708
17874288,-0.2834,0.0794,9.8623,-0.2479,0.4146,-0.3549
17874455,-0.2855,0.0793,9.8448,-0.2814,0.3667,-0.2917
17874622,-0.2852,0.0845,9.8423,-0.2009,0.4162,-0.3044
17874788,-0.2801,0.0742,9.8573,-0.1943,0.4059,-0.3017
17874955,-0.2861,0.0814,9.8694,-0.2002,0.3475,-0.3982
17875122,-0.2887,0.0778,9.8787,-0.2098,0.3191,-0.3904
17875288,-0.2975,0.0772,9.8524,-0.1982,0.4066,-0.3374
17875455,-0.2853,0.0717,9.8628,-0.1658,0.4020,-0.3200
17875622,-0.2832,0.0694,9.8420,-0.1929,0.3189,-0.3523
17875788,-0.2916,0.0741,9.8645,-0.1579,0.3839,-0.3569
17875955,-0.2798,0.0733,9.8574,-0.2064,0.3246,-0.2842
17876122,-0.2795,0.0772,9.8566,-0.1726,0.3644,-0.3245
17876288,-0.2920,0.0668,9.8507,-0.1138,0.3411,-0.3652
17876455,-0.2837,0.0884,9.8550,-0.1790,0.3142,-0.3263
17876622,-0.2887,0.0713,9.8581,-0.2349,0.3525,-0.3545
17876789,-0.2759,0.0680,9.8579,-0.2217,0.3532,-0.3440
17876955,-0.2844,0.0726,9.8623,-0.1553,0.3980,-0.3460
17877122,-0.2793,0.0789,9.8479,-0.1902,0.3422,-0.3311
17877289,-0.2845,0.0768,9.8663,-0.2559,0.3641,-0.3622
17877455,-0.2845,0.0729,9.8584,-0.2694,0.3424,-0.3111
17877622,-0.2796,0.0830,9.8464,-0.2525,0.3413,-0.3453
17877789,-0.2838,0.0745,9.8712,-0.2000,0.3948,-0.3874
17877955,-0.2786,0.0763,9.8598,-0.2272,0.3799,-0.3796
17878122,-0.2818,0.0676,9.8588,-0.1668,0.3484,-0.3423
17878289,-0.2924,0.0747,9.8560,-0.2026,0.3246,-0.3477
17878455,-0.2877,0.0741,9.8669,-0.1821,0.3210,-0.3247
17878622,-0.2854,0.0824,9.8600,-0.1897,0.3457,-0.3800
17878789,-0.2929,0.0841,9.8633,-0.2823,0.3823,-0.3523
17878955,-0.2981,0.0772,9.8535,-0.2406,0.3074,-0.3616
17879122,-0.2815,0.0726,9.8620,-0.1970,0.3332,-0.3291
17879289,-0.2837,0.0650,9.8568,-0.2474,0.3490,-0.3835
17879455,-0.2835,0.0894,9.8527,-0.2592,0.3648,-0.3676
17879622,-0.2865,0.0738,9.8586,-0.1685,0.3187,-0.3642
17879789,-0.2854,0.0693,9.8615,-0.2559,0.3839,-0.3803
17879955,-0.2799,0.0837,9.8671,-0.1943,0.4412,-0.3660
17880122,-0.2841,0.0822,9.8589,-0.2280,0.3536,-0.3086
17880289,-0.2828,0.0695,9.8597,-0.2404,0.3437,-0.3205
17880455,-0.2894,0.0761,9.8683,-0.2204,0.4273,-0.3757
17880622,-0.2898,0.0753,9.8674,-0.1914,0.3042,-0.3528
17880789,-0.2861,0.0717,9.8580,-0.2701,0.4313,-0.3190
17880955,-0.2865,0.0726,9.8588,-0.2381,0.3941,-0.3972
17881122,-0.2911,0.0822,9.8607,-0.2316,0.3666,-0.3922
17881289,-0.2784,0.0758,9.8561,-0.1664,0.2808,-0.3465
17881455,-0.2853,0.0751,9.8522,-0.1460,0.3624,-0.3383
17881622,-0.2690,0.0715,9.8512,-0.2168,0.2995,-0.3693
17881789,-0.2967,0.0675,9.8666,-0.2381,0.4444,-0.3480
17881955,-0.2843,0.0768,9.8677,-0.2461,0.3295,-0.3330
17882122,-0.2792,0.0764,9.8665,-0.2452,0.4171,-0.3402
17882289,-0.2911,0.0756,9.8535,-0.2891,0.3432,-0.3187
17882455,-0.2850,0.0686,9.8579,-0.1532,0.3641,-0.3487
17882622,-0.2969,0.0773,9.8677,-0.1208,0.3501,-0.3883
17882789,-0.2878,0.0836,9.8665,-0.2017,0.3401,-0.3094
