DeviceTag: XsensDOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.622,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17864625,-0.0808,-0.0466,9.7966,-0.3991,0.0545,-0.1450
17864792,-0.0783,-0.0545,9.7950,-0.4019,0.1264,-0.1054
17864958,-0.0886,-0.0492,9.8096,-0.3635,0.0893,-0.0841
17865125,-0.0718,-0.0408,9.8130,-0.4580,0.0933,-0.1221
17865292,-0.0645,-0.0478,9.7990,-0.4402,0.0387,-0.1395
17865459,-0.0909,-0.0371,9.8207,-0.4239,0.1289,-0.1571
17865625,-0.0744,-0.0386,9.8199,-0.4605,0.0184,-0.0899
17865792,-0.0825,-0.0629,9.8041,-0.4168,0.1013,-0.1203
17865959,-0.0744,-0.0469,9.8137,-0.4992,0.0132,-0.1248
17866125,-0.0708,-0.0538,9.8085,-0.4379,0.0449,-0.1148
17866292,-0.0856,-0.0387,9.8004,-0.4311,0.0213,-0.1117
17866459,-0.0780,-0.0433,9.8005,-0.4258,0.1161,-0.1384
17866625,-0.0800,-0.0501,9.8114,-0.5241,0.0438,-0.1485
17866792,-0.0708,-0.0509,9.7878,-0.4395,0.1075,-0.1785
17866959,-0.0778,-0.0428,9.8073,-0.4484,0.0833,-0.1068
17867125,-0.0831,-0.0441,9.8186,-0.3891,0.0589,-0.1725
17867292,-0.0739,-0.0474,9.7960,-0.4361,0.1255,-0.1465
17867459,-0.0930,-0.0408,9.8116,-0.4401,0.0779,-0.1132
17867625,-0.0747,-0.0368,9.7949,-0.4417,0.0422,-0.1894
17867792,-0.0738,-0.0595,9.8082,-0.4058,0.0834,-0.1469
17867959,-0.0807,-0.0346,9.8052,-0.3888,0.0937,-0.1182
17868125,-0.0788,-0.0471,9.8161,-0.4228,0.1092,-0.1723
17868292,-0.0841,-0.0471,9.8142,-0.4332,0.0276,-0.1366
17868459,-0.0770,-0.0645,9.8146,-0.4600,0.0102,-0.1939
17868625,-0.0692,-0.0513,9.7950,-0.3946,0.0426,-0.1503
17868792,-0.0613,-0.0558,9.8150,-0.3997,0.0760,-0.1712
17868959,-0.0711,-0.0360,9.8126,-0.4089,0.0487,-0.1519
17869125,-0.0892,-0.0598,9.8066,-0.4163,0.0446,-0.1557
17869292,-0.0809,-0.0475,9.7982,-0.3784,0.0580,-0.1367
17869459,-0.0776,-0.0493,9.8104,-0.3869,0.0663,-0.1753
17869625,-0.0829,-0.0587,9.8167,-0.4009,0.0793,-0.0932
17869792,-0.0873,-0.0495,9.8052,-0.4179,0.1295,-0.0912
17869959,-0.0874,-0.0468,9.8077,-0.4769,0.0953,-0.1266
17870125,-0.0762,-0.0472,9.8156,-0.4436,0.0093,-0.1827
17870292,-0.0724,-0.0475,9.8010,-0.4239,0.0275,-0.1100
17870459,-0.0771,-0.0504,9.8104,-0.4511,0.0707,-0.1285
17870625,-0.0883,-0.0483,9.8082,-0.4693,0.0368,-0.1933
17870792,-0.0767,-0.0555,9.8160,-0.4253,0.0705,-0.1436
17870959,-0.0648,-0.0473,9.8091,-0.4458,0.0054,-0.1253
17871125,-0.0803,-0.0576,9.8116,-0.4836,-0.0023,-0.1374
17871292,-0.0760,-0.0534,9.8046,-0.4150,0.0971,-0.1161
17871459,-0.0730,-0.0477,9.8142,-0.4377,0.0587,-0.1679
17871625,-0.0789,-0.0542,9.8140,-0.4188,0.1471,-0.1085
17871792,-0.0793,-0.0500,9.7999,-0.4346,0.0512,-0.1672
17871959,-0.0906,-0.0472,9.8138,-0.4417,0.0560,-0.1599
17872125,-0.0655,-0.0457,9.8199,-0.4991,0.1068,-0.1710
17872292,-0.0755,-0.0372,9.7910,-0.3913,0.0445,-0.1138
17872459,-0.0822,-0.0524,9.8168,-0.5054,-0.0023,-0.1669
17872625,-0.0871,-0.0479,9.8048,-0.5256,0.0827,-0.0976
17872792,-0.0909,-0.0546,9.8145,-0.4725,0.0015,-0.1182
17872959,-0.0700,-0.0526,9.7828,-0.4275,0.1276,-0.1038
17873125,-0.0781,-0.0429,9.8114,-0.4695,0.1026,-0.1377
17873292,-0.0744,-0.0566,9.7965,-0.4073,0.0865,-0.1816
17873459,-0.0637,-0.0625,9.8075,-0.3921,0.0474,-0.1815
17873625,-0.0844,-0.0634,9.7978,-0.4841,0.0336,-0.1382
17873792,-0.0792,-0.0478,9.8147,-0.4082,0.0417,-0.1478
17873959,-0.0835,-0.0536,9.7991,-0.4300,0.0381,-0.1333
17874125,-0.0791,-0.0509,9.8068,-0.4391,0.0929,-0.0778
17874292,-0.0800,-0.0576,9.8155,-0.4380,0.1050,-0.1135
17874459,-0.0736,-0.0450,9.8064,-0.4351,0.0447,-0.1679
17874625,-0.0804,-0.0496,9.7979,-0.3926,0.0808,-0.1623
17874792,-0.0721,-0.0547,9.8220,-0.4119,0.0192,-0.0872
17874959,-0.0755,-0.0634,9.8098,-0.5034,0.0795,-0.1077
17875125,-0.0744,-0.0703,9.8084,-0.3941,0.0459,-0.1466
17875292,-0.0863,-0.0533,9.7969,-0.4575,0.1106,-0.1205
17875459,-0.0754,-0.0529,9.7894,-0.5504,0.0193,-0.1693
17875625,-0.0813,-0.0424,9.8231,-0.4470,0.0603,-0.0994
17875792,-0.0865,-0.0588,9.8142,-0.4536,-0.0084,-0.1662
17875959,-0.0801,-0.0493,9.8104,-0.4401,-0.0016,-0.1256
17876125,-0.0756,-0.0567,9.8124,-0.5237,0.0502,-0.1781
17876292,-0.0850,-0.0468,9.8060,-0.3798,0.1282,-0.0856
17876459,-0.0887,-0.0489,9.8115,-0.4181,0.0924,-0.1424
17876625,-0.0724,-0.0417,9.8083,-0.4073,-0.0355,-0.1568
17876792,-0.0758,-0.0391,9.8256,-0.3559,0.0380,-0.1257
17876959,-0.0780,-0.0508,9.8042,-0.4600,0.0213,-0.1820
