DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:56.029,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17858086,-0.1081,-0.1059,9.8372,-0.3659,-0.1263,-0.5372
17858253,-0.1206,-0.1009,9.8269,-0.3814,-0.1264,-0.4820
17858419,-0.1232,-0.0963,9.8304,-0.3366,-0.1013,-0.5240
17858586,-0.1323,-0.1180,9.8280,-0.3405,-0.1958,-0.4718
17858753,-0.1177,-0.0896,9.8391,-0.3629,-0.1386,-0.5060
17858919,-0.1268,-0.0904,9.8149,-0.3469,-0.1128,-0.5502
17859086,-0.1263,-0.0914,9.8260,-0.3589,-0.0879,-0.4955
17859253,-0.1097,-0.0975,9.8476,-0.3398,-0.1992,-0.4755
17859419,-0.1259,-0.1018,9.8515,-0.3921,-0.1439,-0.5316
17859586,-0.1310,-0.0988,9.8351,-0.3955,-0.1544,-0.4838
17859753,-0.1124,-0.0884,9.8387,-0.3797,-0.1604,-0.5135
17859919,-0.1132,-0.0910,9.8329,-0.3257,-0.1762,-0.5122
17860086,-0.1242,-0.1071,9.8317,-0.4143,-0.1406,-0.5388
17860253,-0.1324,-0.1026,9.8322,-0.3569,-0.1084,-0.5500
17860419,-0.1193,-0.0921,9.8248,-0.3676,-0.1278,-0.5188
17860586,-0.1179,-0.0897,9.8333,-0.4015,-0.1349,-0.5148
17860753,-0.1162,-0.0985,9.8392,-0.3862,-0.1544,-0.5182
17860919,-0.1181,-0.0835,9.8186,-0.3774,-0.0535,-0.4821
17861086,-0.1307,-0.0967,9.8207,-0.3554,-0.1597,-0.5638
17861253,-0.1318,-0.1021,9.8279,-0.4086,-0.1563,-0.5783
17861419,-0.1154,-0.0962,9.8252,-0.4109,-0.1695,-0.5170
17861586,-0.1260,-0.0968,9.8270,-0.3651,-0.1605,-0.5304
17861753,-0.1215,-0.1009,9.8285,-0.4115,-0.1903,-0.5288
17861919,-0.1035,-0.0942,9.8298,-0.3808,-0.1741,-0.6172
17862086,-0.1271,-0.0970,9.8399,-0.3881,-0.1719,-0.5133
17862253,-0.1178,-0.0965,9.8273,-0.3926,-0.1431,-0.5238
17862419,-0.1139,-0.0972,9.8254,-0.3626,-0.0550,-0.5276
17862586,-0.1229,-0.0872,9.8368,-0.4309,-0.1612,-0.6207
17862753,-0.1102,-0.0940,9.8429,-0.4823,-0.1345,-0.5421
17862919,-0.1194,-0.1003,9.8488,-0.4281,-0.1576,-0.5341
17863086,-0.1287,-0.0904,9.8337,-0.3086,-0.2299,-0.4793
17863253,-0.1156,-0.0911,9.8310,-0.4207,-0.1618,-0.5187
17863419,-0.1303,-0.0942,9.8345,-0.3766,-0.0863,-0.5763
17863586,-0.1252,-0.1064,9.8345,-0.3997,-0.1154,-0.5329
17863753,-0.1146,-0.0904,9.8342,-0.3969,-0.1232,-0.5075
17863919,-0.1202,-0.0869,9.8444,-0.3878,-0.1465,-0.5374
17864086,-0.1036,-0.0936,9.8280,-0.4547,-0.1452,-0.5620
17864253,-0.1203,-0.0983,9.8353,-0.3013,-0.0780,-0.5064
17864419,-0.1187,-0.0906,9.8402,-0.3590,-0.0940,-0.5402
17864586,-0.1227,-0.0923,9.8175,-0.4832,-0.1398,-0.4918
17864753,-0.1284,-0.0963,9.8240,-0.4071,-0.1756,-0.5428
17864919,-0.1189,-0.1083,9.8320,-0.3850,-0.0774,-0.5156
17865086,-0.1233,-0.0972,9.8360,-0.3431,-0.1668,-0.5434
17865253,-0.1146,-0.0956,9.8303,-0.4306,-0.1914,-0.4855
17865419,-0.1283,-0.0873,9.8251,-0.4075,-0.0961,-0.5091
17865586,-0.1119,-0.0995,9.8329,-0.4134,-0.1502,-0.4754
